variant,size,best_rung,best_NLL,best_Top1
b1h,0,R0,0.4589255167244159,0.9026893464722298
b1h,1,R11,0.4569047473457275,0.9026893464722298
b1h,2,R5,0.4571435210758077,0.9026893464722298
b1h,6,R7,0.48814270176497654,0.9021960666847061
b2h,0,R0,0.44583803777261927,0.9027332842202428
b2h,1,R11,0.44372856724466336,0.9027390177365274
b2h,2,R5,0.44416912527276986,0.9027412390475397
b2h,6,R7,0.4900121030231765,0.901477597206126
