state_id,state,share,minutes_per_day
8,SLEEP,0.3450880444396847,496.92678399314605
14,OUT_OF_HOME,0.2615493872884415,376.6311176953558
5,SCREENS_LEISURE,0.1694184272579794,243.96253525149035
12,QUIET_SOCIAL,0.05655137297365905,81.43397708206903
9,EAT_DRINK,0.050402690020903,72.57987363010032
7,APPLIANCE_HOUSEHOLD_ELEC,0.029695290281892932,42.761218005925826
10,PERSONAL_CARE,0.026919297389703986,38.76378824117374
11,CARE_AT_HOME,0.01794956557867974,25.847374433298825
1,COOKING,0.013859078820547604,19.95707350158855
4,CLEANING_ELECTRIC,0.009435661319942727,13.587352300717527
6,ADMIN_ON_DEVICES,0.008328040651760888,11.992378538535679
3,LAUNDRY_IRON,0.007598592617713205,10.941973369507014
2,DISHWASHING,0.002865918898765256,4.126923214221969
13,EXERCISE_NO_MACHINE,0.0003386324603259597,0.487630742869382
0,STATE_0,0.0,0.0
