state_id,state,share,minutes_per_day
8,SLEEP,0.33361842431454214,480.4105310129407
14,OUT_OF_HOME,0.2883524840101146,415.22757697456495
5,SCREENS_LEISURE,0.12261081362486986,176.5595716198126
9,EAT_DRINK,0.04930679508156081,71.00178491744757
12,QUIET_SOCIAL,0.04781626506024097,68.855421686747
11,CARE_AT_HOME,0.036866602211314395,53.087907184292725
10,PERSONAL_CARE,0.03357101244484109,48.34225792057117
7,APPLIANCE_HOUSEHOLD_ELEC,0.02408708909712926,34.68540829986613
1,COOKING,0.02081628985076107,29.97545738509594
4,CLEANING_ELECTRIC,0.01613088155089494,23.228469433288712
3,LAUNDRY_IRON,0.012351876642371957,17.786702365015618
6,ADMIN_ON_DEVICES,0.00850004958104021,12.240071396697903
2,DISHWASHING,0.00538574049283554,7.755466309683177
13,EXERCISE_NO_MACHINE,0.0005856760374832663,0.8433734939759036
0,STATE_0,0.0,0.0
