state_id,state,share,minutes_per_day
8,SLEEP,0.3465813870969779,499.0771974196482
14,OUT_OF_HOME,0.22074083678295933,317.86680496746146
5,SCREENS_LEISURE,0.14473786000044203,208.42251840063653
12,QUIET_SOCIAL,0.0629618413740405,90.66505157861832
9,EAT_DRINK,0.04763661150422639,68.596720566086
10,PERSONAL_CARE,0.03882062655312108,55.90170223649436
11,CARE_AT_HOME,0.032208859855194644,46.38075819148028
1,COOKING,0.027600708160062645,39.745019750490215
4,CLEANING_ELECTRIC,0.02449066706451827,35.26656057290631
7,APPLIANCE_HOUSEHOLD_ELEC,0.018401179266879484,26.497698144306455
3,LAUNDRY_IRON,0.015320937572031663,22.062150103725596
6,ADMIN_ON_DEVICES,0.011270685915106046,16.229787717752707
2,DISHWASHING,0.008548925090227059,12.310452129926965
13,EXERCISE_NO_MACHINE,0.0006788737642129327,0.977578220466623
0,STATE_0,0.0,0.0
