state_id,state,share,minutes_per_day
8,SLEEP,0.3247730064696896,467.673129316353
14,OUT_OF_HOME,0.29780377489492915,428.83743584869796
5,SCREENS_LEISURE,0.13531601776172675,194.85506557688652
12,QUIET_SOCIAL,0.051561389012087545,74.24840017740607
9,EAT_DRINK,0.04661045287827268,67.11905214471267
10,PERSONAL_CARE,0.03455595903116574,49.760581004878674
11,CARE_AT_HOME,0.02774367814878174,39.95089653424571
1,COOKING,0.020592820950108063,29.65366216815561
7,APPLIANCE_HOUSEHOLD_ELEC,0.019808529483199222,28.52428245580688
4,CLEANING_ELECTRIC,0.015135230328694025,21.794731673319397
6,ADMIN_ON_DEVICES,0.009873712574007194,14.218146106570359
3,LAUNDRY_IRON,0.009798418393207883,14.10972248621935
2,DISHWASHING,0.005949065274169818,8.566653994804538
13,EXERCISE_NO_MACHINE,0.0004779447999605764,0.68824051194323
0,STATE_0,0.0,0.0
