state_id,state,share,minutes_per_day
8,SLEEP,0.36701919007530104,528.5076337084336
14,OUT_OF_HOME,0.17998351034686222,259.1762548994816
5,SCREENS_LEISURE,0.1759929681902474,253.42987419395627
12,QUIET_SOCIAL,0.06866073592320984,98.87145972942218
9,EAT_DRINK,0.05110980282659699,73.59811607029967
10,PERSONAL_CARE,0.0325374858635029,46.85397964344418
7,APPLIANCE_HOUSEHOLD_ELEC,0.026997636307441595,38.876596282715894
11,CARE_AT_HOME,0.024037862105056124,34.61452143128082
1,COOKING,0.022425170955030136,32.29224617524339
4,CLEANING_ELECTRIC,0.020494518375690142,29.512106460993802
3,LAUNDRY_IRON,0.013993266285947091,20.15030345176381
6,ADMIN_ON_DEVICES,0.010058918900408817,14.484843216588697
2,DISHWASHING,0.0061108520883381805,8.79962700720698
13,EXERCISE_NO_MACHINE,0.00057808175636757,0.8324377291693008
0,STATE_0,0.0,0.0
