state_id,state,share,minutes_per_day
8,SLEEP,0.34592791868200357,498.13620290208513
14,OUT_OF_HOME,0.23691082987586462,341.15159502124504
5,SCREENS_LEISURE,0.1583573102404647,228.0345267462692
12,QUIET_SOCIAL,0.060697530632599514,87.4044441109433
9,EAT_DRINK,0.04920815629113398,70.85974505923292
10,PERSONAL_CARE,0.03360088982269204,48.38528134467654
11,CARE_AT_HOME,0.02466358073905934,35.51555626424545
7,APPLIANCE_HOUSEHOLD_ELEC,0.023714144720729285,34.14836839785017
1,COOKING,0.02131661684993596,30.69592826390778
4,CLEANING_ELECTRIC,0.017427420514696458,25.095485541162898
3,LAUNDRY_IRON,0.01174666524928688,16.915197958973106
6,ADMIN_ON_DEVICES,0.00994393533413165,14.319266881149577
2,DISHWASHING,0.005980352614909376,8.611707765469502
13,EXERCISE_NO_MACHINE,0.0005046484324925977,0.7266937427893407
0,STATE_0,0.0,0.0
